,index,0,1,2,3,4,size,flip
0,1_large_0,0,0.25990000000000046,0.4368000000000003,0.5854000000000004,0.7031000000000001,large,0
1,3_small_180,0,0.2684000000000001,0.45150000000000023,0.6052,0.7275000000000003,small,180
2,1_large_180,0,0.2628999999999999,0.4423999999999999,0.5927,0.7123000000000002,large,180
3,4_large_0,0,0.2582000000000001,0.4346000000000002,0.5828999999999999,0.7003,large,0
4,1_small_0,0,0.26320000000000005,0.443,0.5938999999999999,0.7139,small,0
5,4_large_180,0,0.2649999999999998,0.4449000000000001,0.5955000000000001,0.7149000000000001,large,180
6,1_small_180,0,0.2708999999999999,0.45500000000000007,0.6093000000000002,0.7314999999999999,small,180
7,4_small_0,0,0.2629999999999999,0.4423999999999999,0.5934999999999999,0.7133000000000003,small,0
8,2_large_0,0,0.2594000000000002,0.43600000000000017,0.5845000000000002,0.7021000000000002,large,0
9,4_small_180,0,0.26980000000000026,0.4532999999999998,0.6073000000000002,0.7294999999999996,small,180
10,2_large_180,0,0.2631000000000001,0.4427000000000001,0.5930000000000002,0.7123000000000002,large,180
11,5_large_0,0,0.2583,0.4347000000000001,0.583,0.7003999999999999,large,0
12,2_small_0,0,0.26259999999999983,0.44220000000000004,0.5932999999999998,0.7132999999999997,small,0
13,5_large_180,0,0.2630999999999998,0.4424999999999999,0.5928,0.7121000000000002,large,180
14,2_small_180,0,0.2683,0.4514,0.6053000000000004,0.7278000000000004,small,180
15,5_small_0,0,0.2636999999999998,0.4437000000000002,0.5947999999999998,0.7143999999999997,small,0
16,3_large_0,0,0.2594000000000001,0.43620000000000003,0.5847999999999999,0.7023999999999999,large,0
17,5_small_180,0,0.26959999999999984,0.4529999999999996,0.6072,0.7296,small,180
18,3_large_180,0,0.26550000000000007,0.4457,0.5962999999999996,0.7156999999999998,large,180
19,6_large_180,0,0.26309999999999967,0.44269999999999987,0.5928999999999998,0.7121999999999997,large,180
20,3_small_0,0,0.26489999999999997,0.44520000000000004,0.5965,0.7168999999999999,small,0
